id,brid,brdate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,montant,totaltva,lot
1124,1,2023-12-22,128,4005900242914,NIVEA  DEO FEMME  PROTECT & CARE 200ML,6.0,1,8.075,9.666,9.609,11.5,19.0,15.0,57.656,9.206,
1125,1,2023-12-22,286,3600550964707,NARTA DEO HOMME CLASSIC 200ML,6.0,1,10.35,12.182,12.317,14.5,19.0,10.0,73.899,11.799,
1126,1,2023-12-22,484,3600550964691,NARTA DEO FEMME INVISBLE 200 ML,5.0,1,10.35,12.182,12.317,14.5,19.0,10.0,61.583,9.833,
1127,1,2023-12-22,284,3600550845624,NARTA DEO FEMME FRESHISSIME 200ML,5.0,1,10.35,12.182,12.317,14.5,19.0,10.0,61.583,9.833,
1128,1,2023-12-22,283,3058320021028,NARTA DEO FEMME FLORALE 200ML,6.0,1,10.35,12.182,12.317,14.5,19.0,10.0,73.899,11.799,
1129,6,2024-01-09,407,887930944723,KODAK NANO CHARGEUR +4P AA 2100,3.0,1,51.298,66.687,61.045,79.36,19.0,30.0,183.134,29.24,
1130,6,2024-01-09,406,887930955088,KODAK  AA B2 RECHARGEABLE 2600 MAH,5.0,1,20.723,26.94,24.66,32.06,19.0,15.0,123.302,19.687,
1131,6,2024-01-09,405,887930954029,KODAK  AAA B2 RECHARGEABLE 1000 MAH,5.0,1,12.794,16.632,15.225,19.79,19.0,15.0,76.124,12.154,
1132,6,2024-01-09,394,887930419481,TORCHE KODAK LED FLASHLIGHT RECHARGEABLE HANDY 150R,3.0,1,44.106,57.338,52.487,68.23,19.0,20.0,157.458,25.14,
1133,6,2024-01-09,395,887930419498,TORCHE KODAK RECHARGEABLE MULTI-UTIL,2.0,1,47.326,61.524,56.318,73.21,19.0,20.0,112.636,17.984,
1170,8,2024-01-10,702,3574661574714,LPM A/SHP  Nutrition 200 ml,6.0,1,9.384,12.18,11.167,14.5,19.0,8.0,67.002,10.698,
1171,8,2024-01-10,703,3574661574691,LPM A/SHP Infusion brillance   200 ml,6.0,1,9.384,12.18,11.167,14.5,19.0,8.0,67.002,10.698,
1172,8,2024-01-10,719,3574661574752,LPM A/SHP INFUSION HYDRATATION 200 ML,6.0,1,9.384,12.18,11.167,14.5,19.0,8.0,67.002,10.698,
1173,8,2024-01-10,700,3574661539102,LPM A/SHP Infusion detox 200ml,5.0,1,9.384,12.18,11.167,14.5,19.0,8.0,55.835,8.915,
1174,8,2024-01-10,701,3574661539126,LPM A/SHP NUTRITION INTENSE 200 ML,5.0,1,9.384,12.18,11.167,14.5,19.0,8.0,55.835,8.915,
1175,8,2024-01-10,308,3574661381824,LPM CRÉME DE DOUCHE SUBLIMANTE 250ML,6.0,1,6.0,7.818,7.14,9.3,19.0,0.0,42.84,6.84,
1176,8,2024-01-10,704,3574661700892,LPM créme de douche lait d'amande douce,6.0,1,4.995,6.513,5.944,7.75,19.0,10.0,35.664,5.694,
1177,8,2024-01-10,310,3574661319308,LPM GD GRENADE 250ML,6.0,1,4.995,6.513,5.944,7.75,19.0,10.0,35.664,5.694,
1178,8,2024-01-10,713,3574661537436,LPM SHP  NUTRITION INTENSE,6.0,1,6.508,8.402,7.744,10.0,19.0,5.0,46.467,7.419,
1179,8,2024-01-10,717,3574661598949,LPM SHP REPARATION ANTI-CASSE,6.0,1,6.508,8.402,7.744,10.0,19.0,5.0,46.467,7.419,
1180,8,2024-01-10,715,3574661537450,LPM SHP COULEUR SUBLIME,6.0,1,6.508,8.402,7.744,10.0,19.0,5.0,46.467,7.419,
1181,8,2024-01-10,714,3574661537443,LPM SHP  BRIALLNCE LUMIERE 250 ML,6.0,1,6.508,8.402,7.744,10.0,19.0,5.0,46.467,7.419,
1182,8,2024-01-10,718,3574661537429,LPM SHP HYDRATATION légéreté,4.0,1,6.508,8.402,7.744,10.0,19.0,5.0,30.978,4.946,
1183,8,2024-01-10,712,3574661574509,LPM SHP BLONDE ENSOLEILLE 250 ML,6.0,1,6.508,8.402,7.744,10.0,19.0,5.0,46.467,7.419,
1184,8,2024-01-10,716,3574661537467,LPM SHAMPO detox fraicheur 250 ML,6.0,1,6.508,8.402,7.744,10.0,19.0,5.0,46.467,7.419,
1185,3,2024-01-06,181,3610340636547,ELSÉVE SHP DREAM LONG 400ML,6.0,1,15.834,18.067,18.842,21.5,19.0,9.0,113.055,18.051,
1186,3,2024-01-06,183,3610340023019,ELSÉVE SHP H.EXT CHEVEUX NORMAUX 400ML,6.0,1,15.834,18.233,18.842,21.7,19.0,9.0,113.055,18.051,
1187,3,2024-01-06,185,3610340655203,ELSÉVE SHP HYALURON 400 ML,6.0,1,15.834,18.233,18.842,21.7,19.0,9.0,113.055,18.051,
1188,3,2024-01-06,177,3054080004028,ELSÉVE SHP MULTIVITAMINES 2 EN 1- 250ML,6.0,1,8.463,10.084,10.071,12.0,19.0,9.0,60.426,9.648,
1189,3,2024-01-06,184,3610340038075,ELSÉVE SHP H.EXT CHEVEUX SECS 400ML,6.0,1,15.834,18.067,18.842,21.5,19.0,9.0,113.055,18.051,
1190,3,2024-01-06,186,3610340653667,ELSÉVE SHP STRAIGHT 72H 400ML,6.0,1,15.66,18.064,18.635,21.5,19.0,10.0,111.812,17.852,
1191,3,2024-01-06,199,3610340017476,ELSÉVE OIL REP H.EXTRA 300ML,5.0,1,16.2,18.484,19.278,22.0,19.0,10.0,96.39,15.39,
1192,3,2024-01-06,200,3610340028557,ELSÉVE OIL REP TOTAL REPAIR 5 300ML,5.0,1,16.2,18.654,19.278,22.2,19.0,10.0,96.39,15.39,
1193,3,2024-01-06,197,3610340650697,ELSÉVE OIL REP FULL RESIST 300ML,5.0,1,16.965,19.493,20.188,23.2,19.0,10.0,100.942,16.117,
1194,3,2024-01-06,198,3610340022708,ELSÉVE OIL REP H.EXTRA 125ML,3.0,1,9.81,11.34,11.674,13.5,19.0,10.0,35.022,5.592,
1195,3,2024-01-06,191,3610340655180,ELSÉVE A/SHP HYALURON 200ML,2.0,1,10.17,12.184,12.102,14.5,19.0,10.0,24.205,3.865,
1196,3,2024-01-06,192,3610340006500,ELSÉVE A/SHP NUTRI FILTRE 200ML,2.0,1,9.72,11.596,11.567,13.8,19.0,10.0,23.134,3.694,
1197,3,2024-01-06,193,3610340006746,ELSÉVE A/SHP TOTAL REPAIR 5 - 200ML,2.0,1,9.72,11.596,11.567,13.8,19.0,10.0,23.134,3.694,
1198,3,2024-01-06,188,3610340649776,ELSÉVE A/SHP ARGININE RESIST 200ML,2.0,1,10.17,12.102,12.102,14.4,19.0,10.0,24.205,3.865,
1199,3,2024-01-06,189,3610340636790,ELSÉVE A/SHP DREAM LONG 200ML,2.0,1,9.72,11.596,11.567,13.8,19.0,10.0,23.134,3.694,
1200,3,2024-01-06,187,3610340653681,ELSÉVE A/SHP STRAIGHT 72H 200ML,2.0,1,9.72,11.596,11.567,13.8,19.0,10.0,23.134,3.694,
