ReceiptID,Barcode,ItemName,Itemcount,ItemBuyPrice,ItemSellPrice,ReceiptDate,Status,ItemEAN,OriginalSellPrice,ReceiptCashier
492,366,ELEGANCE  SERUM 60ML,1.0,7.604,9.9,2025-03-21 16:33:16,1,,9.9,
492,3302,SENSEA Cotons Tiges 90P,1.0,1.117,1.5,2025-03-21 16:33:16,1,,1.5,
505,1444,NANA Clip Protection Confort 10 maxi Normal,1.0,2.45,3.2,2025-03-27 15:25:06,1,,3.2,
505,3042,Awane ado couche femme normales 9,2.0,2.65,3.2,2025-03-27 15:25:06,1,,3.2,
505,1503,Signal dentifrices 50ml Anti-Caries,1.0,2.0,2.5,2025-03-27 15:25:06,1,,2.5,
505,2566,Lilas Shp Extrem Protecteur 350mL,1.0,4.601,5.5,2025-03-27 15:25:06,1,,5.5,
505,2896,Lilas extreme A/SHP protecteur 180 ML,1.0,3.309,4.2,2025-03-27 15:25:06,1,,4.2,
505,2008,Veet Cream Sensitive 100 ML,1.0,8.034,9.9,2025-03-27 15:25:06,1,,9.9,
505,1614,Sensea Gel Douche Algues Marines,1.0,3.3,4.9,2025-03-27 15:25:06,1,,4.9,
505,1521,Lux Savon  Creamy Perfection,1.0,1.741,2.2,2025-03-27 15:25:06,1,,2.2,
505,1499,Close up dentifrices 50ml menthol fresh,1.0,1.999,2.8,2025-03-27 15:25:06,1,,2.8,
505,318,ZINA SUCRE SIMPLE200GR,1.0,2.544,3.3,2025-03-27 15:25:06,1,,3.3,
505,1520,Lux  Savon Soft touch,1.0,1.741,2.2,2025-03-27 15:25:06,1,,2.2,
505,1631,Lux Savon Sweet Embrace 75g,1.0,1.741,2.2,2025-03-27 15:25:06,1,,2.2,
505,1433,Sensea lave main 400ml Tonic,1.0,2.97,3.6,2025-03-27 15:25:06,1,,3.6,
505,2022,Mood Oxydant 20 vol 100ml,1.0,2.61,3.4,2025-03-27 15:25:06,1,,3.4,
505,2360,Jet 7 Mousse Nettoyante Visage 200 ml,1.0,8.479,12.0,2025-03-27 15:25:06,1,,12.0,
505,811,R.B Gel Douche energizing,1.0,4.179,5.5,2025-03-27 15:25:06,1,,5.5,
505,2788,Lilas masque ex réparateur 500 ML,1.0,11.543,13.9,2025-03-27 15:25:06,1,,13.9,
505,1002,Lilas Clip Super 9 Parfume,1.0,2.464,3.2,2025-03-27 15:25:06,1,,3.2,
513,3152,H.Zone oxy 30V 100 ml,1.0,1.949,2.3,2025-03-30 13:50:04,1,,2.3,
515,2853,Dima clean lavette microfibre spécialité sol G modéle,1.0,5.0,7.5,2025-04-03 13:39:18,1,,7.5,
515,364,ELEGANCE SERUM 300ML,1.0,26.775,29.8,2025-04-03 13:39:18,1,,29.8,
515,1253,JUDY Javel classic 3L+1L gratuit,1.0,3.941,4.2,2025-04-03 13:39:18,1,,4.2,
515,321,COTON PLUS DISQUES 80PIÉCES,1.0,3.927,4.9,2025-04-03 13:39:18,1,,4.9,
515,107,NIVEA creme SOFT 100ML,1.0,8.497,10.9,2025-04-03 13:39:18,1,,10.9,
515,3075,Zynia eau micemmaire 250 ml,1.0,6.64,8.9,2025-04-03 13:39:18,1,,8.9,
515,1905,Neutrogena Gel Exfoliant Anti-Brillance Citron vert 150mL,1.0,17.907,23.4,2025-04-03 13:39:18,1,,23.4,
518,181,Elsève shp DREAM LONG 400ML,1.0,18.842,19.9,2025-04-13 18:31:04,1,,19.9,
518,187,Elsève a/shp STRAIGHT 72H 200ML,1.0,11.567,12.9,2025-04-13 18:31:04,1,,12.9,
519,1447,Peaudouce Couche Confort T2,1.0,15.25,15.9,2025-04-14 21:10:41,1,,15.9,
519,3284,Cotex Essuie tout plus de 2,1.0,2.65,3.2,2025-04-14 21:10:41,1,,3.2,
520,2737,Joia body splash jardin fleuri 300ML,1.0,14.486,19.7,2025-04-15 19:08:31,1,,19.7,
