ReceiptID,Barcode,ItemName,Itemcount,ItemBuyPrice,ItemSellPrice,ReceiptDate,Status,ItemEAN,OriginalSellPrice,ReceiptCashier
12447,1077,DEX VITRES PISTOLET 500ML,1.0,3.152,3.8,2024-07-22 17:27:13,1,,3.8,yosra
12447,1639,Judy Vaiselle 580mL Citron,1.0,3.3,3.8,2024-07-22 17:27:13,1,,3.8,yosra
12448,989,lilas Lingette Bebe 72 Confort Max Avec Lid,1.0,4.089,5.2,2024-07-22 18:14:55,1,,5.2,taher
12449,2096,Essuie Tout CLassic 2+1 Cotex,1.0,2.55,3.0,2024-07-22 18:25:53,1,,3.0,taher
12449,1584,Papier Toilette Cotex x4,1.0,1.95,2.5,2024-07-22 18:25:53,1,,2.5,taher
12449,1745,Cartouche de cire Azuléne 100 ml,5.0,4.05,4.9,2024-07-22 18:25:53,1,,4.9,taher
12449,1509,Signal Kids Pokémon,1.0,4.472,5.59,2024-07-22 18:25:53,1,,5.59,taher
12449,2141,Dentefrice Signal Integral Charbon,1.0,5.416,6.5,2024-07-22 18:25:53,1,,6.5,taher
12449,2264,Savon Dove Go Fresh Revive,1.0,3.582,4.3,2024-07-22 18:25:53,1,,4.3,taher
12449,2099,Serpillere,1.0,1.02,1.5,2024-07-22 18:25:53,1,,1.5,taher
12449,1887,Parfum d'ambiance airwick 250 ml bleu,1.0,8.334,10.8,2024-07-22 18:25:53,1,,10.8,taher
12450,1013,Esuito Lilas Maxi XL,1.0,4.896,5.9,2024-07-22 18:35:49,1,,5.9,taher
12451,1449,Couche Peaudouce Confort T4,1.0,14.499,15.9,2024-07-22 18:41:48,1,,15.9,taher
12452,2104,Sunsilk SHP Brillance 600 ml,1.0,6.574,6.9,2024-07-22 18:42:13,1,,6.9,taher
12453,2305,Molfix Couche Nrml T5,1.0,14.453,16.5,2024-07-22 19:05:00,1,,16.5,taher
12454,1899,Déodorant Réxona  Femme shower Fresh 200 ml,1.0,9.5,10.5,2024-07-22 19:14:56,1,,10.5,taher
12455,2103,Signal Cavity Fighter Mint 50 ml,1.0,2.0,2.5,2024-07-22 19:48:18,1,,2.5,taher
12455,978,Couche Pants M Lilas 10 PCS,1.0,19.183,19.5,2024-07-22 19:48:18,1,,19.5,taher
12456,2172,Jet 7 Créme Cire 100 ml,1.0,2.659,3.5,2024-07-22 20:09:45,1,,3.5,taher
12457,1438,Couton Tige 150,1.0,1.583,2.0,2024-07-22 20:10:15,1,,2.0,taher
12458,2205,Lingettes Démaquillantes Peaux Sensibles,1.0,4.499,5.5,2024-07-22 20:11:18,1,,5.5,taher
12458,1013,Esuito Lilas Maxi XL,1.0,4.896,5.9,2024-07-22 20:11:18,1,,5.9,taher
12459,40,JET 7 SHP KERATINE VEGETALE 500ML,4.0,4.274,4.9,2024-07-22 20:18:08,1,,4.9,taher
12459,2096,Essuie Tout CLassic 2+1 Cotex,1.0,2.55,3.0,2024-07-22 20:18:08,1,,3.0,taher
12460,1059,DEX AUTOMATIC PARFUM INTENSE BLEU 4KG,1.0,15.52,18.9,2024-07-23 09:20:00,1,,18.9,asma
12461,1663,DET VAISSELLE Javellisé 600ML,1.0,2.813,3.5,2024-07-23 09:29:10,1,,3.5,asma
12461,1843,Aspérox Sol Surfaces Citron 1 L,1.0,4.599,5.9,2024-07-23 09:29:10,1,,5.9,asma
12462,2096,Essuie Tout CLassic 2+1 Cotex,2.0,2.55,3.0,2024-07-23 09:31:51,1,,3.0,asma
12462,14,U.D SHP ENFANT ABRICOT & COTON 250ML,1.0,8.447,10.9,2024-07-23 09:31:51,1,,10.9,asma
12462,2252,L'oréal Elsève SHP Filtre Uv - Cheveux Colorés 200mL,1.0,10.071,11.0,2024-07-23 09:31:51,1,,11.0,asma
12462,2281,Gel Douche Pink Trip 1000mL Zynia,1.0,6.49,7.5,2024-07-23 09:31:51,1,,7.5,asma
12462,973,Assoup Lilas Lavande 1L,1.0,5.049,5.6,2024-07-23 09:31:51,1,,5.6,asma
12462,2216,Diptox Rouge 500mL,1.0,4.9,5.9,2024-07-23 09:31:51,1,,5.9,asma
12462,624,Savon nexos 55 gr Aloe Vera,1.0,0.934,1.2,2024-07-23 09:31:51,1,,1.2,asma
12462,622,savon nexes 55gr orchide,1.0,0.934,1.2,2024-07-23 09:31:51,1,,1.2,asma
12462,1502,Close Up Menthole Fresh 75 ml,1.0,2.948,3.8,2024-07-23 09:31:51,1,,3.8,asma
12462,1545,Gant de Toilette Micro fibre,1.0,1.999,2.6,2024-07-23 09:31:51,1,,2.6,asma
12462,2338,Sac RLX 1 KG,1.0,0.673,1.0,2024-07-23 09:31:51,1,,1.0,asma
12462,1274,Judy linge 2.6 L Flower auto,1.0,16.501,17.5,2024-07-23 09:31:51,1,,17.5,asma
12463,1149,Mon Paris 30 ml,1.0,10.77,14.0,2024-07-23 09:38:40,1,,14.0,asma
12464,1096,DET JAVEL 5L,1.0,4.992,5.8,2024-07-23 10:04:15,1,,5.8,asma
12465,1458,Essuie Tout Maxi Citron Cotex,1.0,4.46,5.5,2024-07-23 10:07:37,1,,5.5,asma
12465,930,Poudre Main Lilas Fraicheur 300GR,1.0,1.741,2.0,2024-07-23 10:07:37,1,,2.0,asma
12466,356,BILLE LELLA MISS 50ML,1.0,2.63,3.6,2024-07-23 10:21:43,1,,3.6,asma
12467,1443,Clip Protection Confort 9 maxi Nana,1.0,2.45,2.9,2024-07-23 10:25:50,1,,2.9,asma
12468,1755,L’ORÉAL PROFESSIONNEL MAJIREL 9.1,1.0,20.236,25.9,2024-07-23 10:27:35,1,,25.9,asma
12469,1647,LPM GD Abricot & Noisette 650mL,1.0,9.127,9.99,2024-07-23 10:29:27,1,,9.99,asma
12470,1521,Savon Lux Creamy Perfection,1.0,1.741,2.2,2024-07-23 10:59:29,1,,2.2,asma
12471,744,Film Fraicheur 16M,1.0,2.339,3.0,2024-07-23 11:19:45,1,,3.0,asma
12472,1294,Mood Tienture 5,1.0,7.045,9.8,2024-07-23 11:21:32,1,,9.8,asma
12473,2225,Malizia bain douche 3en1 coconut milk 1l,1.0,9.71,9.99,2024-07-23 11:34:54,1,,9.99,asma
12473,2340,Sac poubelle Rlx Lotus,1.0,1.456,2.0,2024-07-23 11:34:54,1,,2.0,asma
12474,74,CLASS SHP KERATIN  1000ML,1.0,9.446,9.99,2024-07-23 11:38:50,1,,9.99,asma
12475,2139,Dentefrice Signal Integral Coco,1.0,5.416,6.5,2024-07-23 11:50:39,1,,6.5,asma
12476,1584,Papier Toilette Cotex x4,1.0,1.95,2.5,2024-07-23 11:54:12,1,,2.5,asma
12476,2096,Essuie Tout CLassic 2+1 Cotex,1.0,2.55,3.0,2024-07-23 11:54:12,1,,3.0,asma
12477,1372,R.B oxydant 20 vol 60ml,2.0,1.017,1.5,2024-07-23 12:00:26,1,,1.5,asma
12477,1297,Mood Tienture 6,1.0,7.045,9.8,2024-07-23 12:00:26,1,,9.8,asma
12478,2215,Diptox Rouge 300mL,1.0,4.0,4.9,2024-07-23 12:12:44,1,,4.9,asma
12479,1372,R.B oxydant 20 vol 60ml,1.0,1.017,1.5,2024-07-23 12:38:34,1,,1.5,asma
12480,1458,Essuie Tout Maxi Citron Cotex,1.0,4.46,5.5,2024-07-23 12:47:51,1,,5.5,asma
12481,1528,Brosse Cheuveux Goupillion,-1.0,3.957,5.2,2024-07-23 12:48:57,1,,5.2,asma
12482,1458,Essuie Tout Maxi Citron Cotex,1.0,4.46,5.5,2024-07-23 12:49:13,1,,5.5,asma
12483,1663,DET VAISSELLE Javellisé 600ML,1.0,2.813,3.5,2024-07-23 12:55:04,1,,3.5,asma
12483,2266,Omo Det Fresh Rose 280 gr,1.0,1.576,1.9,2024-07-23 12:55:04,1,,1.9,asma
12483,1098,DET JAVEL 1.5L,1.0,2.037,2.4,2024-07-23 12:55:04,1,,2.4,asma
12484,2100,Lilas Javel Classic 3L+1L GRATUIT,1.0,3.601,3.9,2024-07-23 13:20:30,1,,3.9,asma
12485,2340,Sac poubelle Rlx Lotus,1.0,1.456,2.0,2024-07-23 13:25:02,1,,2.0,asma
12485,2100,Lilas Javel Classic 3L+1L GRATUIT,1.0,3.601,3.9,2024-07-23 13:25:02,1,,3.9,asma
12485,648,Serpilliere microfibre 2en1,1.0,8.658,11.3,2024-07-23 13:25:02,1,,11.3,asma
12485,667,Tampon Expert 7+3,1.0,2.723,3.5,2024-07-23 13:25:02,1,,3.5,asma
12486,1178,my way 30 ml,1.0,10.77,14.0,2024-07-23 13:26:22,1,,14.0,asma
12487,1295,Mood Tienture 5.00,1.0,7.045,9.8,2024-07-23 14:03:57,1,,9.8,asma
12488,2096,Essuie Tout CLassic 2+1 Cotex,1.0,2.55,3.0,2024-07-23 14:06:18,1,,3.0,asma
12489,1703,Savon Liquide Zynia Pink Trip 370ml,1.0,2.921,3.5,2024-07-23 14:14:54,1,,3.5,asma
12489,1521,Savon Lux Creamy Perfection,1.0,1.741,2.2,2024-07-23 14:14:54,1,,2.2,asma
12489,639,Manche Cirta 130 cm,1.0,2.38,3.5,2024-07-23 14:14:54,1,,3.5,asma
12489,2131,Cotons-Tiges X100,1.0,1.39,1.8,2024-07-23 14:14:54,1,,1.8,asma
12489,1253,Javel Judy 3L + 0.5 L gratuit,1.0,3.82,3.9,2024-07-23 14:14:54,1,,3.9,asma
12489,2096,Essuie Tout CLassic 2+1 Cotex,1.0,2.55,3.0,2024-07-23 14:14:54,1,,3.0,asma
12489,974,Lilas Serv 30*30 Table,1.0,1.408,1.9,2024-07-23 14:14:54,1,,1.9,asma
12489,2225,Malizia bain douche 3en1 coconut milk 1l,1.0,9.71,9.99,2024-07-23 14:14:54,1,,9.99,asma
12489,1584,Papier Toilette Cotex x4,1.0,1.95,2.5,2024-07-23 14:14:54,1,,2.5,asma
12490,1891,Savon Detol Skincare,1.0,1.849,2.4,2024-07-23 14:25:42,1,,2.4,asma
12491,1584,Papier Toilette Cotex x4,1.0,1.95,2.5,2024-07-23 14:27:56,1,,2.5,asma
12491,837,Dentifrice Dabur Herb'l Olive (+Brosse a dents),1.0,5.355,7.0,2024-07-23 14:27:56,1,,7.0,asma
12491,2096,Essuie Tout CLassic 2+1 Cotex,1.0,2.55,3.0,2024-07-23 14:27:56,1,,3.0,asma
12492,2352,Cotex Essuie- tout 2,2.0,1.818,2.5,2024-07-23 14:31:31,1,,2.5,asma
12493,802,Elegance Hair Wax Millitaire,1.0,5.35,7.0,2024-07-23 14:32:19,1,,7.0,asma
12494,2352,Cotex Essuie- tout 2,1.0,1.818,2.5,2024-07-23 14:32:42,1,,2.5,asma
12495,1584,Papier Toilette Cotex x4,3.0,1.95,2.5,2024-07-23 14:45:41,1,,2.5,asma
12496,2305,Molfix Couche Nrml T5,1.0,14.453,16.5,2024-07-23 14:56:17,1,,16.5,asma
