id,benum,datebe,idsupplier,supplier,total,reference,auteur,numfacture,supplieraddress,suppliermatfiscal,userid,paymentstatus,paymentid,brofbe,beofbr,supfacture,factureid
154,0,2024-03-28,1,SDC,758.511,FAC-202403-2403105,taher,0,,,1,0,0,0,0,0,0
155,0,2024-03-30,1,SDC,433.301,FAC-202403-2403109,taher,0,,,1,0,0,0,0,0,0
156,0,2024-03-30,1,SDC,1835.194,FAC-202403-2403106,taher,0,,,1,0,0,0,0,0,0
157,0,2024-04-01,1,SDC,127.164,FAC-202404-2404111,Nom Prénom,0,,,1,0,0,0,0,0,0
158,0,2024-04-01,15,Trading Distr company,2843.205,fac-1058/2024,Nom Prénom,0,,,1,0,0,0,0,0,0
159,0,2024-04-01,1,SDC,1642.354,FAC-202403-2404112,taher,0,,,1,0,0,0,0,0,0
160,0,2024-04-04,1,SDC,442.18,,taher,0,,,1,0,0,0,0,0,0
161,0,2024-04-04,3,Négoce distribution (Judy),1405.326,,taher,0,,,1,0,0,0,0,0,0
162,0,2024-04-05,4,lilas,810.618,B.L. N 0402219873,taher,0,,,1,0,0,0,0,0,0
163,0,2024-04-06,1,SDC,969.146,FAC-202404-2404119,taher,0,,,1,0,0,0,0,0,0
164,0,2024-04-06,1,SDC,679.995,FAC-202404-2404120,Nom Prénom,0,,,1,0,0,0,0,0,0
165,0,2024-04-06,4,lilas,29.988,,taher,0,,,1,0,0,0,0,0,0
166,0,2024-04-08,1,SDC,219.38,FAC-202404-2404121,taher,0,,,1,0,0,0,0,0,0
167,0,2024-04-09,1,SDC,561.544,FAC-202404-2404122,taher,0,,,1,0,0,0,0,0,0
168,0,2024-04-12,3,Négoce distribution (Judy),1610.282,FAC-9030662924,taher,0,,,1,0,0,0,0,0,0
169,0,2024-04-13,6,Canal Food ( sunsilk),2646.451,BL N°917913,taher,0,,,1,0,0,0,0,0,0
170,0,2024-04-13,1,SDC,524.602,FAC-202404-2404123,taher,0,,,1,0,0,0,0,0,0
171,0,2024-04-15,1,SDC,636.392,BLI-202404-59,taher,0,,,1,0,0,0,0,0,0
172,0,2024-04-01,1,SDC,0.063,testeur maybelline,taher,0,,,1,0,0,0,0,0,0
173,0,2024-04-16,1,SDC,185.612,FAC-202404-2404127,taher,0,,,1,0,0,0,0,0,0
174,0,2024-04-16,1,SDC,1453.762,FAC-202404-2404126,taher,0,,,1,0,0,0,0,0,0
175,0,2024-04-17,1,SDC,205.918,BLI-202404-69,taher,0,,,1,0,0,0,0,0,0
176,0,2024-04-18,3,Négoce distribution (Judy),374.124,FAC-9030667861,taher,0,,,1,0,0,0,0,0,0
177,0,2024-04-19,4,lilas,725.394,B.L.N° 0402220120,taher,0,,,1,0,0,0,0,0,0
178,0,2024-04-19,4,lilas,1259.107,B.L.N° 0410411820,taher,0,,,1,0,0,0,0,0,0
179,0,2024-04-22,1,SDC,273.303,FAC-202404-2404129,taher,0,,,1,0,0,0,0,0,0
180,0,2024-04-23,1,SDC,1385.995,BLI 202404-82,taher,0,,,1,0,0,0,0,0,0
181,0,2024-04-25,1,SDC,287.09,BLI-202404-86,taher,0,,,1,0,0,0,0,0,0
182,0,2024-04-25,11,peaudeauce,1207.44302,PEAUDOUCE FAC-10,Mohamed Ali,0,,,1,0,0,0,0,0,0
183,0,2024-04-30,1,SDC,593.837,FAC-202404-2404138,taher,0,,,1,0,0,0,0,0,0
184,0,2024-05-02,3,Négoce distribution (Judy),1124.661,FAC-9030679364,taher,0,,,1,0,0,0,0,0,0
185,0,2024-05-02,1,SDC,434.287,FAC-202405-2405140,taher,0,,,1,0,0,0,0,0,0
186,0,2024-05-03,1,SDC,1033.097,BLI-202405-120,taher,0,,,1,0,0,0,0,0,0
187,0,2024-05-04,11,peaudeauce,52.193,Peaudouce FAC N° 20,taher,0,,,1,0,0,0,0,0,0
188,0,2024-05-06,6,Canal Food ( sunsilk),3540.59,927089,taher,0,,,1,0,0,0,0,0,0
