Barcode,EAN,Category,ItemName,BuyPrice,SellPrice,ShortcutForeColor,ShortcutBackColor,Status,Shortcut,ItemStock,ItemBrand,delay,unit,StockFaible,ShortCutOrder,startingprice,discount,fodec,tva,marge,buypriceht,sellpriceht,defaultsupplier
966,6192477623340,30,Lilas liquide vaisselle Lammaa Citron Jaune 5L,15.50927,19.499805171,-1,-14774017,1,0,1.0,43,0,1,2.0,0,13.033,0.0,0.0,19.0,25.73,13.033,16.3863909,28966.0
967,6192477630003,0,Lilas Javel Classic 1.5L,1.081,2.202,-1,-14774017,1,0,5.0,43,0,1,2.0,0,1.081,0.0,0.0,0.0,103.7,1.081,2.202,5967.0
968,6192477630041,30,Lilas Javel Classic 3L,3.53,4.3,-1,-14774017,1,0,0.0,43,0,1,2.0,0,2.966,0.0,0.0,19.0,21.8,2.966,3.613,0.0
969,6192477630089,0,Lilas Javel Classic  4.75L,5.25,5.9,-1,-14774017,1,0,2.0,43,0,1,2.0,0,4.412,0.0,0.0,19.0,12.37,4.412,4.958,28969.0
970,6192477630027,30,Lilas Javel parfumer Lavande 1.5L,2.975,3.4,-1,-14774017,1,0,0.0,43,0,1,2.0,0,2.5,0.0,0.0,19.0,14.3,2.5,2.858,0.0
971,6192477630065,30,Lilas Javel parfumer Lavande 3L,4.313,5.1,-1,-14774017,1,0,0.0,43,0,1,2.0,0,3.624,0.0,0.0,19.0,18.2,3.624,4.284,0.0
972,6192477630119,30,Lilas Javel parfumer Citron 4.75L,6.188,7.2,-1,-14774017,1,0,0.0,43,0,1,2.0,0,5.2,0.0,0.0,19.0,16.4,5.2,6.053,5972.0
973,6192477620271,30,Lilas assoup lavande 1L,5.04917,6.100407194,-1,-14774017,1,0,8.0,43,0,1,2.0,0,4.243,0.0,0.0,19.0,20.82,4.243,5.1263926,22973.0
974,6192011804075,0,Lilas serviette 30*30 Table,1.408,1.7,-1,-14774017,1,0,22.0,0,0,1,2.0,0,1.408,0.0,0.0,0.0,20.76,1.408,1.7,4974.0
975,6192011813404,0,Lilas couche pants large 14 PS,25.40769,27.900184389,-1,-14774017,1,0,0.0,43,0,1,6.0,0,21.351,0.0,0.0,19.0,9.81,21.351,23.4455331,4975.0
976,6192011813381,0,Lilas couche pants large 10 PS,18.954,20.901,-1,-14774017,1,0,4.0,43,0,1,6.0,0,15.928,0.0,0.0,19.0,10.27,15.928,17.564,4976.0
977,6192011813398,0,Lilas couche pants medium 14PS,23.544,25.901,-1,-14774017,1,0,6.0,43,0,1,6.0,0,23.544,0.0,0.0,0.0,10.01,23.544,25.901,4977.0
978,6192011809193,0,Lilas couche Pants mediume 10 PCS,17.67507,19.900361313,-1,-14774017,1,0,6.0,43,0,1,6.0,0,14.853,0.0,0.0,19.0,12.59,14.853,16.7229927,4978.0
979,6192011804150,0,Lilas couche adulte 15 Large,22.638,25.9,-1,-14774017,1,0,9.0,43,0,1,6.0,0,22.638,0.0,0.0,0.0,14.41,22.638,25.9,4979.0
980,6192011804167,0,Lilas couche adulte 15 medium,20.85,25.9,-1,-14774017,1,0,7.0,43,0,1,6.0,0,20.85,0.0,0.0,0.0,24.22,20.85,25.9,4980.0
981,6192011813022,30,Lilas serviette 23*23 1PL Colore Orange 90,1.169,1.6,-1,-14774017,1,0,0.0,0,0,1,2.0,0,0.982,0.0,0.0,19.0,37.0,0.982,1.345,
982,6192011803726,37,Lilas Clip Ultra Super 8,3.007,3.8,-1,-14774017,1,0,7.0,43,0,1,12.0,0,3.007,0.0,0.0,0.0,26.4,3.007,3.801,0.0
983,6192011803573,0,Lilas 30*30 Premium Simple,1.483,1.901,-1,-14774017,1,0,22.0,0,0,1,2.0,0,1.483,0.0,0.0,0.0,28.2,1.483,1.901,4983.0
984,6192011803566,30,Lilas serviette 23*23 Premium Simple,1.2,1.6,-1,-14774017,1,0,0.0,0,0,1,2.0,0,1.008,0.0,0.0,19.0,33.0,1.008,1.341,
985,6192011803580,0,Lilas serviette 40*40 Premium Simple,2.5,2.9,-1,-14774017,1,0,18.0,0,0,1,2.0,0,2.5,0.0,0.0,0.0,16.0,2.5,2.9,4985.0
986,6192011811639,30,Lilas Lingette Antibacterienne 15,1.208,1.500336,-1,-14774017,1,0,0.0,0,0,1,2.0,0,1.208,0.0,0.0,0.0,24.2,1.208,1.500336,32986.0
987,6192011811813,37,Lilas Couche Bébé 15-25 Confort max Actif T5,15.25,16.8,-1,-14774017,1,0,5.0,43,0,1,6.0,0,12.815,0.0,0.0,19.0,10.18,12.815,14.12,0.0
988,6192011811776,0,PM 2-4 Confort Max Actif,10.346,12.0,-1,-14774017,1,0,5.0,0,0,1,2.0,0,10.346,0.0,0.0,0.0,16.2,10.346,12.022,4988.0
989,6192011809353,0,lilas Lingette Bebe 72 Confort Max Avec Lid,4.333,5.599,-1,-14774017,1,0,5.0,0,0,1,2.0,0,4.333,0.0,0.0,0.0,29.22,4.333,5.599,4989.0
991,3600542416061,0,Garnier Shp Haairfood Noix de Coco Macadamia 350ML,14.459,18.9,-1,-14774017,1,0,8.0,0,0,1,2.0,0,13.5,10.0,0.0,19.0,30.72,12.15,15.882,1991.0
992,3600542416146,1,Garnier U.D SHP Hairfood Papaya 350ML,14.459,18.9,-1,-14774017,1,0,8.0,19,0,1,2.0,0,13.5,10.0,0.0,19.0,30.72,12.15,15.882,1992.0
