id,EAN,itemname,updatedate,itemstock,oldbuyprice,oldsellprice,newbuyprice,newsellprice,username,itemid
1945,3600550274783,DESSANGE SHP EXTRÊME 3 HUILE 250ML,2024-05-10,5.0,15.702,20.41,15.702,20.4,Admin,392
1946,6192440002479,Jet 7 SHP kératine de soie 500mL,2024-05-10,6.0,4.179,5.5,4.274,5.5,Admin,2152
1947,3610340653643,ELSÉVE SHP STRAIGHT 72H 200ML,2024-05-10,7.0,10.071,11.5,10.071,12.0,Admin,179
1948,6192440002349,JET 7 G.D FLORAL 500ML,2024-05-10,6.0,4.296,5.6,4.409,5.6,Admin,43
1949,6192440002318,JET 7 G.D FRUTTI 500ML,2024-05-10,6.0,4.296,5.6,4.409,5.6,Admin,42
1950,6192440002356,JET 7 G.D MARINZ 2EN1 500ML,2024-05-10,6.0,4.296,5.6,4.409,5.6,Admin,46
1951,6192440002325,JET 7 G.D CITRUS 500ML,2024-05-10,6.0,4.296,5.6,4.409,5.6,Admin,44
1952,6192440002332,JET 7 G.D EXOTIC 500ML,2024-05-10,8.0,4.296,5.6,4.409,5.6,Admin,45
1953,6192440000925,JET 7 SHP ROSEMARY ACTIVATE 500ML,2024-05-12,7.0,4.274,5.55,4.274,5.6,Admin,39
1954,6192440000888,JET 7 SHP KERATINE VEGETALE 500ML,2024-05-12,7.0,4.274,5.56,4.274,5.6,Admin,40
1955,6192440000895,JET 7 SHP ALOE VERA MAX 500ML,2024-05-12,9.0,4.274,5.56,4.274,5.6,Admin,41
1956,6192440002479,Jet 7 SHP kératine de soie 500mL,2024-05-12,6.0,4.274,5.5,4.274,5.6,Admin,2152
1957,6192400655141,Clip Protection Confort 10 maxi Normal,2024-05-12,25.0,2.45,2.85,2.45,2.9,Admin,1444
1958,6192400655158,Clip Protection Confort 9 maxi Nana,2024-05-12,23.0,2.45,2.85,2.45,2.9,Admin,1443
1959,6192400658104,Nana Protège Slip Douceur 20,2024-05-12,12.0,2.761,3.19,2.761,3.2,Admin,2127
1960,6192400658128,Nana Protège Parfumé 20,2024-05-12,11.0,2.761,3.19,2.761,3.2,Admin,2126
1961,6192400658111,Protége Slip Douceur 18 Nana,2024-05-12,35.0,2.761,3.19,2.761,3.2,Admin,1441
1962,6192400658135,Protége Slip Parfumé 18 Nana,2024-05-12,15.0,2.761,3.19,2.761,3.2,Admin,1440
1963,6192409005664,DEX SAVON LIQUIDE COEUR DE FRUITS 1L,2024-05-12,3.0,4.56,5.3,4.56,5.5,Admin,1093
1964,6192409005725,DEX SAVON LIQUIDE BRISES DE PROVENCE 1L,2024-05-12,10.0,4.56,5.3,4.56,5.5,Admin,1091
1965,6192409005701,DEX SAVON LIQUIDE ZESTES DE FRAICHEUR 1L,2024-05-12,5.0,4.56,5.3,4.56,5.5,Admin,1090
1966,6192002403034,Javel Judy 1L,2024-05-12,4.0,1.96,2.35,1.96,2.4,Admin,1262
1967,6192002403140,Javel Judy 1.5 L,2024-05-12,3.0,2.95,3.55,2.95,3.5,Admin,1252
