id,factid,factdate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,fodec,montant,totaltva,totalremise,totalfodec
37,1,2024-10-19 10:27:35,35,3600542445931,U.D MASQUE HAIRFOOD ALOE VERA  390ML,12.0,1,15.795,18.148,18.796,21.6,19.0,10.0,0.0,233.238096,37.239696,21.7776,0.0
38,1,2024-10-19 10:27:35,36,3610340038778,U.D HUILE D'OLIVE 140ML,11.0,1,14.56,18.063,17.326,21.5,19.0,9.0,0.0,215.1646497,34.3540197,17.88237,0.0
39,1,2024-10-19 10:27:35,37,6192440000086,JET 7 GEL A COIFFER 150 GR,12.0,1,1.433,1.849,1.705,2.2,19.0,5.0,0.0,25.083534,4.004934,1.1094,0.0
40,1,2024-10-19 10:27:35,38,6192440000079,JET 7 GEL A COIFFER 350 GR,12.0,1,1.995,2.605,2.374,3.1,19.0,5.0,0.0,35.33943,5.64243,1.563,0.0
41,1,2024-10-19 10:27:35,39,6192440000925,JET 7 SHP ROSEMARY ACTIVATE 500ML,12.0,1,3.592,4.12,4.274,4.9,19.0,5.0,0.0,55.89192,8.92392,2.472,0.0
42,1,2024-10-19 10:27:35,40,6192440000888,JET 7 SHP KERATINE VEGETALE 500ML,12.0,1,3.592,4.12,4.274,4.9,19.0,5.0,0.0,55.89192,8.92392,2.472,0.0
43,1,2024-10-19 10:27:35,41,6192440000895,JET 7 SHP ALOE VERA MAX 500ML,12.0,1,3.592,4.12,4.274,4.9,19.0,5.0,0.0,55.89192,8.92392,2.472,0.0
44,1,2024-10-19 10:27:35,47,6192440000390,JET 7 CIRE 40GR,24.0,1,1.097,1.426,1.306,1.7,19.0,5.0,0.0,38.690232,6.177432,1.7112,0.0
45,1,2024-10-19 10:27:35,48,6192440000369,JET 7 CIRE 100G,24.0,1,2.295,2.772,2.731,3.3,19.0,5.0,0.0,75.209904,12.008304,3.3264,0.0
46,1,2024-10-19 10:27:35,56,6192440000024,JET 7 GEL A COIFFER 1 KG,12.0,1,3.563,4.115,4.239,4.9,19.0,5.0,0.0,55.82409,8.91309,2.469,0.0
47,1,2024-10-19 10:27:35,49,6192440000611,JET 7 CIRE 200 GR,24.0,1,3.126,3.782,3.72,4.5,19.0,5.0,0.0,102.613224,16.383624,4.5384,0.0
48,1,2024-10-19 10:27:35,50,6192440000406,JET 7 CIRE 510 GR,12.0,1,7.125,8.489,8.479,10.1,19.0,5.0,0.0,115.161774,18.387174,5.0934,0.0
49,1,2024-10-19 10:27:35,52,6192440002219,JET 7 CREME A RASER COOL 320ML,12.0,1,4.228,5.547,5.031,6.6,19.0,5.0,0.0,75.250602,12.014802,3.3282,0.0
50,1,2024-10-19 10:27:35,53,6192440002202,JET 7 CREME A RASER MENTE 320ML,12.0,1,4.228,5.463,5.031,6.5,19.0,5.0,0.0,74.111058,11.832858,3.2778,0.0
51,1,2024-10-19 10:27:35,51,6192440000420,JET 7 GEL A RASER 510 GR,12.0,1,3.61,4.706,4.296,5.6,19.0,5.0,0.0,63.841596,10.193196,2.8236,0.0
52,1,2024-10-19 10:27:35,54,6192440001922,JET 7 SHP KÉRATINE 55ML,24.0,1,0.784,1.007,0.933,1.2,19.0,5.0,0.0,27.321924,4.362324,1.2084,0.0
53,1,2024-10-19 10:27:35,33,3600542370158,U.D MASQUE HAIRFOOD BANANE 390ML,1.0,1,15.795,18.148,18.796,21.6,19.0,10.0,0.0,19.436508,3.103308,1.8148,0.0
