id,beid,bedate,itemid,itembarcode,itemname,quantity,supplierid,prixachatht,prixdeventeht,prixachat,prixvente,tauxtva,remise,fodec,montant,totaltva,totalremise,totalfodec,lot
1711,6,2023-09-30,319,6222001555653,SHARK LAME SUPER STAINLESS,200.0,1,0.9,1.17,1.071,1.39,19.0,0.0,0.0,214.2,34.2,0.0,0.0,
1712,6,2023-09-30,455,25010200,BRIQUET CLIPPER PM,240.0,1,0.875,1.138,1.041,1.35,19.0,0.0,0.0,249.9,39.9,0.0,0.0,
1713,6,2023-09-30,456,25040101,BRIQUET BTB,250.0,1,0.27,0.351,0.321,0.42,19.0,0.0,0.0,80.325,12.825,0.0,0.0,
1794,5,2023-09-24,349,6192005226050,LELLA COFFRET SENSUELLE,6.0,1,24.99,32.487,29.738,38.66,19.0,15.0,0.0,178.429,28.489,0.0,0.0,
1795,5,2023-09-24,350,6192005226043,LELLA COFFRET IRRÉSISTIBLE,6.0,1,24.99,32.487,29.738,38.66,19.0,15.0,0.0,178.429,28.489,0.0,0.0,
1796,5,2023-09-24,351,6192005226036,LELLA COFFRET BELLE,6.0,1,24.99,32.487,29.738,38.66,19.0,15.0,0.0,178.429,28.489,0.0,0.0,
1797,5,2023-09-24,378,3574661634944,LISTERINE   FRAICHEUR GOUT PLUS LÉGER 250ML,6.0,1,5.4,7.02,6.426,8.35,19.0,10.0,0.0,38.556,6.156,0.0,0.0,
1798,5,2023-09-24,379,3574661634920,LISTERINE   FRAICHEUR INTENSE 250 ML,3.0,1,5.4,7.02,6.426,8.35,19.0,10.0,0.0,19.278,3.078,0.0,0.0,
1799,5,2023-09-24,380,3574661638737,LISTERINE   PROTECTION DENTS ET GENCIVES 250 ML,6.0,1,5.4,7.02,6.426,8.35,19.0,10.0,0.0,38.556,6.156,0.0,0.0,
1800,5,2023-09-24,381,3574661634975,LISTERINE   TOTAL CARE 6EN1 250 ML,6.0,1,5.4,7.02,6.426,8.35,19.0,10.0,0.0,38.556,6.156,0.0,0.0,
1801,5,2023-09-24,382,3574661253350,LISTERINE   THÉ VERT 250ML,6.0,1,5.4,7.02,6.426,8.35,19.0,10.0,0.0,38.556,6.156,0.0,0.0,
1802,5,2023-09-24,373,3574661638393,LISTERINE   BLANCHEUR GOÛT PLUS LÉGER 500ML,5.0,1,7.425,9.653,8.836,11.49,19.0,10.0,0.0,44.179,7.054,0.0,0.0,
1803,5,2023-09-24,372,3574661634951,LISTERINE   FRAÎCHEUR GOÛT PLUS LÉGER 500ML,5.0,1,7.425,9.653,8.836,11.49,19.0,10.0,0.0,44.179,7.054,0.0,0.0,
1804,5,2023-09-24,376,3574661634937,LISTERINE   FRAÎCHEUR INTENSE 500 ML,5.0,1,7.425,9.653,8.836,11.49,19.0,10.0,0.0,44.179,7.054,0.0,0.0,
1805,5,2023-09-24,371,3574661638768,LISTERINE   PROTECTION DENTS ET GENCIVES 500ML,6.0,1,7.425,9.653,8.836,11.49,19.0,10.0,0.0,53.014,8.465,0.0,0.0,
1806,5,2023-09-24,374,3574661634982,LISTERINE   TOTAL CARE 6 EN1 500ML,5.0,1,7.425,9.653,8.836,11.49,19.0,10.0,0.0,44.179,7.054,0.0,0.0,
1807,5,2023-09-24,375,3574661638706,LISTERINE   TOTAL CARE ANTI TARTRE 500ML,6.0,1,8.46,10.998,10.067,13.09,19.0,10.0,0.0,60.404,9.644,0.0,0.0,
1808,5,2023-09-24,377,312547811217,LISTERINE   FRESH BURST - ANTISEPTOC 500ML,6.0,1,7.425,9.653,8.836,11.49,19.0,10.0,0.0,53.014,8.465,0.0,0.0,
1809,5,2023-09-24,364,5285001952168,ELEGANCE SERUM 300ML,12.0,1,22.5,29.25,26.775,34.81,19.0,10.0,0.0,321.3,51.3,0.0,0.0,
1810,5,2023-09-24,366,5283022020828,ELEGANCE  SERUM 60ML,24.0,1,6.39,8.307,7.604,9.88,19.0,10.0,0.0,182.498,29.138,0.0,0.0,
1811,5,2023-09-24,365,5285001952328,ELEGANCE  SERUM 120ML,12.0,1,12.69,16.497,15.101,19.63,19.0,10.0,0.0,181.213,28.933,0.0,0.0,
1812,5,2023-09-24,340,5285001951536,ELEGANCE GEL GRIS100 GR,8.0,1,1.36,1.768,1.618,2.1,19.0,15.0,0.0,12.947,2.067,0.0,0.0,
1813,5,2023-09-24,341,5285001951574,ELEGANCE GEL VERT 100 GR,8.0,1,1.36,1.768,1.618,2.1,19.0,15.0,0.0,12.947,2.067,0.0,0.0,
1814,5,2023-09-24,339,5285001951543,ELEGANCE GEL BLEU CIEL 100 GR,2.0,1,1.36,1.768,1.618,2.1,19.0,15.0,0.0,3.237,0.517,0.0,0.0,
1815,5,2023-09-24,337,5285001951635,ELEGANCE GEL MELITAIRE 100 GR,2.0,1,1.36,1.768,1.618,2.1,19.0,15.0,0.0,3.237,0.517,0.0,0.0,
1816,5,2023-09-24,338,5285001951550,ELEGANCE GEL ROSE 100 GR,4.0,1,1.36,1.768,1.618,2.1,19.0,15.0,0.0,6.474,1.034,0.0,0.0,
1817,5,2023-09-24,333,5285001951260,ELEGANCE GEL VIOLET  250 GR,12.0,1,3.485,4.531,4.147,5.39,19.0,15.0,0.0,49.766,7.946,0.0,0.0,
1818,5,2023-09-24,336,5285001951192,ELEGANCE GEL GRIS 250 GR,12.0,1,3.485,4.531,4.147,5.39,19.0,15.0,0.0,49.766,7.946,0.0,0.0,
1819,5,2023-09-24,335,5285001951215,ELEGANCE GEL JAUNE 250 GR,12.0,1,3.485,4.531,4.147,5.39,19.0,15.0,0.0,49.766,7.946,0.0,0.0,
1820,5,2023-09-24,332,5285001951208,ELEGANCE GEL BLEU CIEL 250 GR,12.0,1,3.485,4.531,4.147,5.39,19.0,15.0,0.0,49.766,7.946,0.0,0.0,
1821,5,2023-09-24,453,5285001951239,ELEGANCE GEL VERT 250 GR,6.0,1,3.485,4.531,4.147,5.39,19.0,15.0,0.0,24.883,3.973,0.0,0.0,
1822,5,2023-09-24,328,5285001951482,ELEGANCE GEL VIOLET500GR,6.0,1,5.398,7.017,6.423,8.35,19.0,15.0,0.0,38.542,6.154,0.0,0.0,
1823,5,2023-09-24,327,5287000234894,ELEGANCE GEL GRIS 500GR,6.0,1,5.398,7.017,6.423,8.35,19.0,15.0,0.0,38.542,6.154,0.0,0.0,
1824,5,2023-09-24,329,5287000234900,ELEGANCE GEL BLEU CIEL 500GR,6.0,1,5.398,7.017,6.423,8.35,19.0,15.0,0.0,38.542,6.154,0.0,0.0,
1825,5,2023-09-24,330,5285001951369,ELEGANCE GEL MELITAIRE 500GR,6.0,1,5.398,7.017,6.423,8.35,19.0,15.0,0.0,38.542,6.154,0.0,0.0,
1826,5,2023-09-24,331,5287000234931,ELEGANCE GEL VERT 500GR,6.0,1,5.398,7.017,6.423,8.35,19.0,15.0,0.0,38.542,6.154,0.0,0.0,
1827,5,2023-09-24,367,8697926017520,REDIST SERUM ARGAN OIL KERATIN 5ML,12.0,1,11.345,14.749,13.5,17.55,19.0,10.0,0.0,162.007,25.867,0.0,0.0,
1828,5,2023-09-24,307,3600550454048,MIXA BÉBÉ SHP CLASSIQUE 250ML,12.0,1,8.645,11.239,10.288,13.37,19.0,9.0,0.0,123.451,19.711,0.0,0.0,
1829,5,2023-09-24,360,3017561550032,BIEN ETRE COLOGNE FRAÎCHEUR 250ML,6.0,1,19.0,24.7,22.61,29.39,19.0,5.0,0.0,135.66,21.66,0.0,0.0,
1830,5,2023-09-24,362,3017561550025,BIEN ETRE  COLOGNE LAVANDE 250ML,6.0,1,19.0,24.7,22.61,29.39,19.0,5.0,0.0,135.66,21.66,0.0,0.0,
1831,5,2023-09-24,361,3017561550018,BIEN ETRE COLOGNE NATURELLE  250ML,6.0,1,19.0,24.7,22.61,29.39,19.0,5.0,0.0,135.66,21.66,0.0,0.0,
1832,5,2023-09-24,344,5283022002626,ELEGANCE DISOLVANT   JAUNE 65ML,12.0,1,1.275,1.658,1.517,1.97,19.0,15.0,0.0,18.207,2.907,0.0,0.0,
1833,5,2023-09-24,343,5283022002534,ELEGANCE DISOLVANT  ROSE 65ML,12.0,1,1.275,1.658,1.517,1.97,19.0,15.0,0.0,18.207,2.907,0.0,0.0,
1834,5,2023-09-24,342,5283022002541,ELEGANCE DISOLVANT VERT 65ML,12.0,1,1.275,1.658,1.517,1.97,19.0,15.0,0.0,18.207,2.907,0.0,0.0,
1835,5,2023-09-24,334,5285001951291,ELEGANCE GEL MELITAIRE 250 GR,12.0,1,3.485,4.531,4.147,5.39,19.0,15.0,0.0,49.766,7.946,0.0,0.0,
1975,22,2023-11-08,480,3600550288292,NARTA DEO FEMME BACTI-PUR 200 ML,12.0,1,10.35,13.455,12.317,16.01,19.0,10.0,0.0,147.798,23.598,0.0,0.0,
1976,22,2023-11-08,481,3600550964684,NARTA DEO FEMME COLOGNE 200 ML,12.0,1,10.35,13.455,12.317,16.01,19.0,10.0,0.0,147.798,23.598,0.0,0.0,
1977,22,2023-11-08,483,3600550964660,NARTA DEO FEMME PROT 5 200 ML,12.0,1,10.35,13.455,12.317,16.01,19.0,10.0,0.0,147.798,23.598,0.0,0.0,
1978,22,2023-11-08,482,3600550362374,NARTA DEO FEMME IMPECCABLE 200 ML,12.0,1,10.35,13.455,12.317,16.01,19.0,10.0,0.0,147.798,23.598,0.0,0.0,
1979,22,2023-11-08,484,3600550964691,NARTA DEO FEMME INVISBLE 200 ML,12.0,1,10.35,13.455,12.317,16.01,19.0,10.0,0.0,147.798,23.598,0.0,0.0,
1980,22,2023-11-08,478,3600550261400,NARTA DEO HOMME PROT 5  200ML,12.0,1,10.35,13.455,12.317,16.01,19.0,10.0,0.0,147.798,23.598,0.0,0.0,
1981,22,2023-11-08,479,3600550964646,NARTA DEO HOMME INVISMAX 200 ML,12.0,1,10.35,13.455,12.317,16.01,19.0,10.0,0.0,147.798,23.598,0.0,0.0,
1982,22,2023-11-08,472,3600550261523,NARTA BILLE HOMME PROT 5,12.0,1,8.82,11.466,10.496,13.64,19.0,10.0,0.0,125.95,20.11,0.0,0.0,
1983,22,2023-11-08,471,3058320028263,NARTA BILLE HOMME CLASIQUE,12.0,1,8.82,11.466,10.496,13.64,19.0,10.0,0.0,125.95,20.11,0.0,0.0,
1984,22,2023-11-08,475,3600550362404,NARTA BILLE FEMME IMPECCABLE,12.0,1,8.82,11.466,10.496,13.64,19.0,10.0,0.0,125.95,20.11,0.0,0.0,
1985,22,2023-11-08,473,3600551027708,NARTA BILLE FEMME  INVISIBLE 0 %,12.0,1,8.82,11.466,10.496,13.64,19.0,10.0,0.0,125.95,20.11,0.0,0.0,
1986,22,2023-11-08,474,3600550964738,NARTA BILLE FEMME iNVISIBLE,12.0,1,8.82,11.466,10.496,13.64,19.0,10.0,0.0,125.95,20.11,0.0,0.0,
1987,22,2023-11-08,476,3600550964721,NARTA BILLE FEMME BIO EFFICACITE,12.0,1,8.82,11.466,10.496,13.64,19.0,10.0,0.0,125.95,20.11,0.0,0.0,
1988,22,2023-11-08,477,3600550964677,NARTA BILLE FEMME PROT 5,12.0,1,8.82,11.466,10.496,13.64,19.0,10.0,0.0,125.95,20.11,0.0,0.0,
2417,24,2023-11-16,513,6194012127108,SAC CADEAU PM 40-12-127 GRIS,12.0,1,2.016,2.621,2.399,3.12,19.0,0.0,0.0,28.788,4.596,0.0,0.0,
2418,24,2023-11-16,514,6194012127207,SAC CADEAU PM 40-12-127 ROSE,12.0,1,2.016,2.621,2.399,3.12,19.0,0.0,0.0,28.788,4.596,0.0,0.0,
2419,24,2023-11-16,515,6194061270008,SAC CADEAU PM 40-6-127 MULTICOLOR,12.0,1,2.016,2.621,2.399,3.12,19.0,0.0,0.0,28.788,4.596,0.0,0.0,
2420,24,2023-11-16,516,6194091270009,SAC CADEAU PM 40-9-127 BLANC,12.0,1,2.016,2.621,2.399,3.12,19.0,0.0,0.0,28.788,4.596,0.0,0.0,
2421,24,2023-11-16,517,6191227000004,SAC-CADEAU-MM 40-1227 DORE,12.0,1,2.521,3.277,3.0,3.9,19.0,0.0,0.0,36.0,5.748,0.0,0.0,
2422,24,2023-11-16,518,6194011127000,SAC-CADEAU-MM 40-1127 NOIR AVEC MOTIF DORE,12.0,1,3.193,4.151,3.8,4.94,19.0,0.0,0.0,45.596,7.28,0.0,0.0,
